id,verite_label,ground_truth,predicted,correct,confidence,entity_score,temporal_score,credibility_score,final_score,claim,time_sec,source
0,true,PRISTINE,PRISTINE,YES,54,0.6,0.75,0.2,0.54,Photograph shows a family that was taken away by local epidemic prevention personnel after they had returned home from H,46.3,VERITE
9,true,PRISTINE,PRISTINE,YES,75,0.6,0.65,0.85,0.64,A sketchfab 3D rendering of the actor Andre the Giant.,21.0,VERITE
15,true,PRISTINE,PRISTINE,YES,56,0.8,0.65,0.2,0.56,"Image shows athletes resting in hammocks while participating in an extreme sport called highlining, which entails walkin",31.5,VERITE
1,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,34,0.6,0.1,0.2,0.345,Photograph shows Chinese officials in white protective hazmat suits carrying people down a hallway to be quarantined for,15.7,VERITE
2,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,29,0.6,0.0,0.1,0.295,Photograph shows a family that was taken away by local epidemic prevention personnel after they had returned home from H,18.4,VERITE
4,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,51,0.6,0.65,0.2,0.51,Image shows electric green scooters that have reached the end of their battery life. Due to the batteries being so expen,17.8,VERITE
5,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,51,0.6,0.65,0.2,0.51,Image shows electric scooters abandoned due to Mobike's downsizing its fleets to avoid an oversupply as the bike-sharing,19.9,VERITE
7,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,51,0.6,0.65,0.2,0.51,Image shows Balenciaga stylist Lotta Volkova holding two baby dolls drenched in blood-colored red paint.,19.1,VERITE
  ,,,,,,,,,,,,
18,true,PRISTINE,PRISTINE,YES,64,0.8,0.9,0.2,0.635,Image shows grounds covered with garbage after the end of Glastonbury Music Festival in 2015.,42.2,VERITE
24,true,PRISTINE,PRISTINE,YES,57,0.6,0.85,0.2,0.57,"A photograph shows a sign that reads 'whites only within city limits after dark', taken from 2018 movie Green Book.",18.8,VERITE
27,true,PRISTINE,PRISTINE,YES,52,0.65,0.65,0.2,0.523,"Image of a bus powered by compressed natural gas, bursting into flames in Italy.",20.8,VERITE
30,true,PRISTINE,PRISTINE,YES,57,0.6,0.85,0.2,0.57,A Norwegian naval ship is being struck by a missile that was fired by the Norwegian Navy in 2013,18.7,VERITE
8,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,51,0.6,0.65,0.2,0.51,Image shows unnamed runway model showcasing designs from Chinese designer and performance artist Sheguang Hu's collectio,16.0,VERITE
10,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,51,0.6,0.65,0.2,0.51,"3D model accurately depicting what Joseph, husband of Mary, the mother of Jesus Christ, looked like.",21.1,VERITE
14,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,51,0.6,0.2,0.75,0.485,Image shows abandoned white cars in China that belong to an electric car-sharing company that was named Microcity which ,21.3,VERITE
36,true,PRISTINE,PRISTINE,YES,57,0.6,0.85,0.2,0.57,Image shows historical plane being towed behind a tractor while celebrating the 20th anniversary of the formation of the,57.7,VERITE
45,true,PRISTINE,PRISTINE,YES,61,0.6,0.85,0.4,0.61,Image of a 12 year old Palestinian activist girl confronting an Israeli soldier in November 2012.,22.9,VERITE
17,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,51,0.6,0.65,0.2,0.51,"Image shows athletes resting in hammocks while participating in an extreme sport called highlining, which entails walkin",24.4,VERITE
19,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,37,0.6,0.2,0.2,0.375,Image shows grounds covered with garbage after Greta Thunberg's environmentalist speech at the Glastonbury Music Festiva,26.4,VERITE
22,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,53,0.25,0.8,0.2,0.468,"A photograph captured by NASA’s Mars Curiosity Rover on May 7, 2022, showed an artificial portal nearby.",27.3,VERITE
23,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,19,0.1,0.0,0.2,0.19,"A photograph captured by NASA’s Mars Curiosity Rover on May 7, 2022, showed a rock crevice on the red planet.",19.7,VERITE
54,true,PRISTINE,PRISTINE,YES,58,0.6,0.9,0.2,0.585,Image shows U.S. Senator Rand Paul receiving a booster vaccination for Hepatitis A in 2015.,23.5,VERITE
57,true,PRISTINE,PRISTINE,YES,58,0.6,0.65,0.55,0.58,"Image shows Autolib storing some of their cars, that are in 'not-so-good condition', in a lot in an industrial area near",28.5,VERITE
66,true,PRISTINE,PRISTINE,YES,57,0.6,0.85,0.2,0.57,"Photograph of U.S. presidential candidate Joe Biden kneeling to speak with a young boy in Detroit, Michigan, in Septembe",27.6,VERITE
25,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,68,0.6,0.0,0.2,0.315,"A photograph shows a sign that reads 'whites only within city limits after dark', taken in a Sundown town in 2022.",56.9,VERITE
28,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,51,0.6,0.65,0.2,0.51,Image of an electric powered BasiGo bus bursting into flames on Karen Road in Kenya.,33.5,VERITE
29,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,42,0.25,0.65,0.2,0.422,"Image of a bus powered by compressed natural gas, bursting into flames in Italy.",32.9,VERITE
31,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,33,0.6,0.0,0.3,0.335,Image shows an explosion on a Russian warship as it is struck with a Ukrainian missile in April 2022.,25.1,VERITE
72,true,PRISTINE,PRISTINE,YES,71,0.6,0.9,0.85,0.715,"Photograph of U.S. Senator Lindsey Graham with far-right politician Geert Wilders at the Ambrosetti Forum, an annual int",49.5,VERITE
75,true,PRISTINE,PRISTINE,YES,73,0.8,0.85,0.75,0.73,"Photograph shows a boat being frozen in Geneva, Switzerland, in 2005",19.3,VERITE
84,true,PRISTINE,PRISTINE,YES,62,0.8,0.85,0.2,0.62,"Α photograph shows οne of the nine parents that were deported by Trump, being reunited with his child in the U.S. in Jan",27.1,VERITE
34,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,51,0.6,0.65,0.2,0.51,"Image shows a giant snake skeleton, that of the extinct Titanoboa, was discovered in France on Google Maps.",21.0,VERITE
35,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,60,0.25,0.65,0.1,0.403,Image shows an art installation of a giant snake by the Chinese artist Huang Yong Ping is exhibited on a beach in France,17.8,VERITE
37,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,70,0.6,0.0,0.1,0.295,"Image shows Russian plane being towed behind a tractor in Ukraine, February 2022.",23.1,VERITE
105,true,PRISTINE,PRISTINE,YES,63,0.6,0.65,0.8,0.63,"A photograph of Wernher von Braun walking on a replica model of the moon landing at the Southeastern Fair in Atlanta, Ge",18.8,VERITE
123,true,PRISTINE,PRISTINE,YES,60,0.6,0.65,0.65,0.6,A photograph of a 19 year-old Japanese student with an unusual punk-inspired style who has garnered some attention in th,29.4,VERITE
40,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,31,0.6,0.0,0.2,0.315,Image from a video shows Ukrainian soldiers killing civilians in Chechnya.,27.6,VERITE
44,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,52,0.2,0.65,0.55,0.48,"Image shows a 'Die in' climate protest in Austria, where protesters got inside of body bags to signify the catastrophic ",37.8,VERITE
46,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,61,0.6,0.0,0.55,0.385,"Image of an 8 year old Ukrainian girl confronting a Russian soldier and telling him to go back to his country, taken dur",36.8,VERITE
126,true,PRISTINE,PRISTINE,YES,68,0.8,0.65,0.8,0.68,"Photograph shows a member of Batista's army who was charged as a war criminal, being executed by a Fidel Castro firing s",64.9,VERITE
135,true,PRISTINE,PRISTINE,YES,68,0.8,0.65,0.8,0.68,"Image of Jesus by artist Rob Ferrel who uses a variety of media to create his artworks, including salt and other food pr",27.0,VERITE
138,true,PRISTINE,PRISTINE,YES,58,0.6,0.65,0.55,0.58,"Image of President Bill Clinton siting next to Reverend Jesse Jackson during the homegoing service for Jackson's mother,",21.7,VERITE
141,true,PRISTINE,PRISTINE,YES,56,0.6,0.65,0.45,0.56,"Photograph shows buses of the Toronto Raptors team, who wrapped their buses with the Black Lives Matter name to show of ",23.1,VERITE
144,true,PRISTINE,PRISTINE,YES,63,0.6,0.65,0.8,0.63,"Image of Joe Biden kissing his 19-year-old granddaughter, Finnegan Biden.",32.6,VERITE
49,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,51,0.6,0.65,0.2,0.51,Picture of China launching an artificial sun in January 2022.,19.8,VERITE
55,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,68,0.6,0.0,0.2,0.315,Image shows U.S. Senator Rand Paul receiving a COVID-19 vaccination in 2021.,50.0,VERITE
3,true,PRISTINE,PRISTINE,YES,53,0.6,0.65,0.34,0.538,Image shows electric scooters abandoned due to Mobike's downsizing its fleets to avoid an oversupply as the bike-sharing,56.6,VERITE
6,true,PRISTINE,PRISTINE,YES,58,0.6,0.65,0.55,0.58,Image shows unnamed runway model showcasing designs from Chinese designer and performance artist Sheguang Hu's collectio,23.1,VERITE
21,true,PRISTINE,PRISTINE,YES,53,0.25,0.8,0.55,0.537,"A photograph captured by NASA’s Mars Curiosity Rover on May 7, 2022, showed a rock crevice on the red planet.",57.8,VERITE
147,true,PRISTINE,PRISTINE,YES,62,0.6,0.65,0.75,0.62,Photograph of Dr. Nancy Sullivan of NIH’s National Institute of Allergy and Infectious Diseases (NIAID) discussing Ebola,70.3,VERITE
153,true,PRISTINE,PRISTINE,YES,61,0.6,0.75,0.55,0.61,Artwork 'Maskcommunication' by artists named Trinidad was created to raise money for teachers who had been stranded by t,49.1,VERITE
159,true,PRISTINE,PRISTINE,YES,60,0.6,0.65,0.65,0.6,Image shows a person in blackface taken into police custody for causing a disturbance during an anti-racism march a Cana,24.6,VERITE
162,true,PRISTINE,PRISTINE,YES,61,0.6,0.75,0.55,0.61,Surveillance camera footage shows an attempted robbery and assault that took place in Minneapolis in August 2019,85.7,VERITE
165,true,PRISTINE,PRISTINE,YES,61,0.6,0.75,0.55,0.61,Image shows former U.S. President Barack Obama and first lady Michelle Obama joined thousands of Americans to mark the 5,41.9,VERITE
62,out-of-context,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,51,0.6,0.65,0.2,0.51,Image shows plastic bags of gasoline in the trunk of a car after two men attempted to steal gasoline from a gas station ,42.8,VERITE
67,miscaptioned,OUT-OF-CONTEXT,OUT-OF-CONTEXT,YES,37,0.6,0.2,0.2,0.375,Photograph of U.S. President Joe Biden kneeling in front of George Floyd’s son to apologize for the death of his father ,25.4,VERITE
168,true,PRISTINE,PRISTINE,YES,66,0.8,0.75,0.55,0.66,"Image shows a member of the 173rd Airborne Brigade sitting on a pile of gold, after nearly 1,000 gold bars were confisca",54.2,VERITE
